ID,Name,Subtitle (Specs),Category,Current Price (SEK),Regular Price (SEK),Discount (SEK),Rating,Review Count,Web Stock,Supplier Stock,Store Stock,Total Stock,Is Available,Date Scraped,VRAM (GB),Manufacturer,PCI Gen,Clock Speed (MHz),AIB,GPU Model,AIB Tier
391835,Gigabyte GeForce RTX 5070 WINDFORCE SFF 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB / 2512 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7190.0,7190.0,0.0,,,0,0,0,0,False,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,2512.0,Gigabyte,RTX 5070 12GB,Value
391830,Gigabyte GeForce RTX 5060 Ti GAMING OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2647 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7190.0,7190.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2647.0,Gigabyte,RTX 5060 Ti 16GB,Performance
391834,Gigabyte GeForce RTX 5060 Ti AORUS ELITE 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB / 2722 MHz,Datorkomponenter/Grafikkort GPU/GeForce RTX,7390.0,7390.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,2722.0,Gigabyte,RTX 5060 Ti 16GB,Halo
383860,ASUS GeForce RTX 5060TI Dual OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7490.0,7490.0,0.0,4.9,10.0,23,0,0,23,True,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Value
383856,ASUS GeForce RTX 5060TI TUF Gaming OC 16GB,NVIDIA Geforce / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7499.0,7499.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5060 Ti 16GB,Performance
382151,MSI GeForce RTX 5070 12G VENTUS 2X OC WHITE,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7599.0,7599.0,0.0,4.5,4.0,4,0,2,6,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,MSI,RTX 5070 12GB,Value
378393,Sapphire PULSE RX 9070 GAMING 16 GB,AMD Radeon / PCI Express 5.0 x16 / 16 GB / 2070 MHz,Datorkomponenter/Grafikkort GPU/AMD Radeon,7675.0,7675.0,0.0,5.0,1.0,1,0,1,2,True,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,2070.0,Sapphire,RX 9070 16GB,Performance
387899,Gigabyte Radeon RX 9070 GAMING 16GB,AMD Radeon / PCI Express 5.0 / 16 GB,Datorkomponenter/Grafikkort GPU/AMD Radeon,7699.0,7699.0,0.0,,,0,0,0,0,False,2026-02-22,16.0,AMD Radeon,PCI Express 5.0,,Gigabyte,RX 9070 16GB,Performance
382268,ASUS PRIME GeForce RTX 5070 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7759.0,7759.0,0.0,4.9,11.0,1,0,1,2,True,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
387373,ASUS GeForce RTX 5070 Dual 12GB,NVIDIA Geforce / PCI Express 5.0 / 12 GB,Datorkomponenter/Grafikkort GPU/GeForce RTX,7890.0,7890.0,0.0,,,0,0,0,0,False,2026-02-22,12.0,NVIDIA Geforce,PCI Express 5.0,,ASUS,RTX 5070 12GB,Value
